model auto,year of production,mileage,exterior colour,tax,transmission,wheel drive,condition,number of owners,engine volume,engine power,engine type,fuel type,acceleration,MPG,country of the car brand,class,top speed,environmental class,price
"Mitsubishi Outlander, 2016",2016,47 649 км,серебристый,5 110  / год,вариатор,полный,Не требует ремонта,1 владелец,2.0 л,146 л.с.,бензиновый ,АИ-92 ,11.7 с,7.6 л,Япония ,D ,188 км/ч,Euro 4 ,2 079 000 
"Mitsubishi Outlander, 2016",2016,79 027 км,серый,7 515  / год,вариатор,полный,Не требует ремонта,1 владелец,2.4 л,167 л.с.,бензиновый ,АИ-92 ,10.2 с,7.7 л,Япония ,D ,198 км/ч,Euro 4 ,2 250 000 
"Ford Focus, 2017",2017,256 385 км,белый,2 625  / год,механическая,передний,Не требует ремонта,3 или более,1.6 л,105 л.с.,бензиновый ,АИ-95 ,12.5 с,6.0 л,США ,C ,180 км/ч,Euro 5 ,650 000 
"Mitsubishi Outlander, 2021",2021,38 170 км,чёрный,4 964  / год,вариатор,полный,Не требует ремонта,1 владелец,2.0 л,146 л.с.,бензиновый ,АИ-92 ,12.0 с,7.7 л,Япония ,D ,188 км/ч,Euro 5 ,3 100 000 
"Mitsubishi Outlander, 2013",2013,202 281 км,чёрный,7 515  / год,вариатор,полный,Не требует ремонта,1 владелец,2.4 л,167 л.с.,бензиновый ,АИ-92 ,10.5 с,7.9 л,Япония ,D ,195 км/ч,Euro 4 ,1 480 000 
"BMW X6 30d, 2021",2021,68 200 км,синий,18 675  / год,автоматическая,полный,Не требует ремонта,3 или более,3.0 л,249 л.с.,дизельный ,ДТ ,6.5 с,6.6 л,Германия ,E ,230 км/ч,Euro 6 ,9 600 000 
"Zeekr 001 100 kWh, 2023",2023,60 км,синий,0  / год,автоматическая,полный,Не требует ремонта,1 владелец,2144 л,544 л.с.,Электро ,?,3.8 с,?,Китай ,E ,200 км/ч,?,6 900 000 
"Mercedes-Benz V-Класс 300 d EXOBILITE экстра длинный, 2023",2023,50 км,чёрный,17 775  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.0 л,237 л.с.,дизельный ,ДТ ,8.6 с,6.5 л,Германия ,M ,214 км/ч,Euro 6 ,44 600 000 
"Mercedes-Benz G-Класс AMG 63 4x4 Squared, 2024",2024,11 км,серый,87 750  / год,автоматическая,полный,Не требует ремонта,1 владелец,4.0 л,585 л.с.,бензиновый ,АИ-98 ,4.6 с,?,Германия ,J ,?,Euro 6 ,45 900 000 
"Toyota RAV4, 2007",2007,196 000 км,чёрный,6 840  / год,автоматическая,полный,Не требует ремонта,3 или более,2.0 л,152 л.с.,бензиновый ,АИ-95 ,12.0 с,8.6 л,Япония ,C ,175 км/ч,?,1 100 000 
"Volkswagen Tiguan, 2010",2010,91 000 км,чёрный,7 650  / год,автоматическая,полный,Не требует ремонта,2 владельца,2.0 л,170 л.с.,бензиновый ,АИ-95 ,9.9 с,9.9 л,Германия ,C ,197 км/ч,?,1 300 000 
"Mitsubishi Outlander, 2019",2019,53 337 км,коричневый,5 110  / год,вариатор,полный,Не требует ремонта,1 владелец,2.0 л,146 л.с.,бензиновый ,АИ-92 ,12.0 с,7.7 л,Япония ,D ,188 км/ч,Euro 5 ,2 500 000 
"BMW X6 30d, 2019",2019,98 800 км,голубой,18 675  / год,автоматическая,полный,Не требует ремонта,1 владелец,3.0 л,249 л.с.,дизельный ,ДТ ,6.7 с,6.0 л,Германия ,E ,230 км/ч,Euro 6 ,5 700 000 
"Land Rover Range Rover, 2021",2021,26 492 км,зелёный,84 750  / год,автоматическая,полный,Не требует ремонта,1 владелец,5.0 л,565 л.с.,бензиновый ,АИ-95 ,5.4 с,12.8 л,Великобритания ,J ,225 км/ч,Euro 6 ,26 316 000 
"Volvo S80, 2006",2006,314 000 км,чёрный,17 850  / год,автоматическая,полный,Не требует ремонта,3 или более,3.2 л,238 л.с.,бензиновый ,АИ-95 ,8.2 с,10.7 л,Швеция ,E ,235 км/ч,?,749 000 
"Zeekr 001 100 kWh, 2023",2023,19 км,синий,0  / год,автоматическая,полный,Не требует ремонта,1 владелец,2144 л,544 л.с.,Электро ,?,3.8 с,?,Китай ,E ,200 км/ч,?,6 150 000 
"Chevrolet Niva, 2007",2007,85 000 км,красный,960  / год,механическая,полный,Не требует ремонта,1 владелец,1.7 л,80 л.с.,бензиновый ,АИ-95 ,19.0 с,10.8 л,США ,J ,140 км/ч,?,440 000 
"Volvo XC60, 2020",2020,9 700 км,синий,18 675  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.0 л,249 л.с.,бензиновый ,АИ-95 ,6.8 с,7.2 л,Швеция ,D ,220 км/ч,Euro 6 ,4 380 000 
"Ford Tourneo Connect LWB, 2005",2005,110 000 км,белый,1 080  / год,механическая,передний,Не требует ремонта,3 или более,1.8 л,90 л.с.,дизельный ,ДТ ,15.2 с,6.5 л,США ,M ,155 км/ч,?,499 999 
"Mitsubishi Outlander, 2019",2019,53 337 км,коричневый,5 110  / год,вариатор,полный,Не требует ремонта,1 владелец,2.0 л,146 л.с.,бензиновый ,АИ-92 ,12.0 с,7.7 л,Япония ,D ,188 км/ч,Euro 5 ,2 500 000 
"Nissan X-Trail, 2015",2015,150 000 км,чёрный,5 040  / год,вариатор,полный,Не требует ремонта,2 владельца,2.0 л,144 л.с.,бензиновый ,АИ-95 ,12.1 с,7.5 л,Япония ,D ,180 км/ч,Euro 5 ,1 000 000 
"BMW X6 30d, 2019",2019,98 800 км,голубой,18 675  / год,автоматическая,полный,Не требует ремонта,1 владелец,3.0 л,249 л.с.,дизельный ,ДТ ,6.7 с,6.0 л,Германия ,E ,230 км/ч,Euro 6 ,5 700 000 
"Land Rover Range Rover, 2021",2021,26 492 км,зелёный,84 750  / год,автоматическая,полный,Не требует ремонта,1 владелец,5.0 л,565 л.с.,бензиновый ,АИ-95 ,5.4 с,12.8 л,Великобритания ,J ,225 км/ч,Euro 6 ,26 316 000 
"GAC GS8, 2020",2020,79 650 км,коричневый,9 500  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.0 л,190 л.с.,бензиновый ,АИ-92 ,?,8.7 л,Китай ,E ,?,Euro 5 ,2 475 000 
"Kia Sportage, 2018",2018,80 000 км,чёрный,9 250  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.0 л,185 л.с.,дизельный ,ДТ ,9.5 с,6.3 л,Южная Корея ,C ,201 км/ч,Euro 6 ,1 999 000 
"Kia Soul, 2019",2019,56 298 км,синий,5 250  / год,автоматическая,передний,Не требует ремонта,2 владельца,2.0 л,150 л.с.,бензиновый ,АИ-95 ,10.2 с,8.0 л,Южная Корея ,B ,186 км/ч,Euro 5 ,1 960 000 
"BMW X6 40d, 2020",2020,22 748 км,чёрный,51 000  / год,автоматическая,полный,Не требует ремонта,2 владельца,3.0 л,340 л.с.,дизельный ,ДТ ,5.5 с,6.2 л,Германия ,E ,245 км/ч,Euro 6 ,10 700 000 
"Geely Tugella, 2022",2022,1 264 км,серый,17 850  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.0 л,238 л.с.,бензиновый ,АИ-95 ,6.9 с,8.1 л,Китай ,C ,210 км/ч,Euro 5 ,3 795 000 
"Mazda 3, 2007",2007,110 000 км,чёрный,2 625  / год,автоматическая,передний,Не требует ремонта,3 или более,1.6 л,105 л.с.,бензиновый ,АИ-95 ,12.6 с,7.6 л,Япония ,C ,174 км/ч,?,570 000 
"Mitsubishi ASX, 2013",2013,149 500 км,чёрный,5 250  / год,вариатор,полный,Не требует ремонта,2 владельца,2.0 л,150 л.с.,бензиновый ,АИ-92 ,11.9 с,8.1 л,Япония ,C ,188 км/ч,Euro 4 ,1 410 600 
"Audi A3 Sportback, 2013",2013,105 600 км,белый,3 050  / год,роботизированная,передний,Не требует ремонта,1 владелец,1.4 л,122 л.с.,бензиновый ,АИ-95 ,9.3 с,5.0 л,Германия ,C ,203 км/ч,Euro 5 ,1 299 900 
"Kia Rio X, 2021",2021,61 191 км,серый,3 075  / год,автоматическая,передний,Не требует ремонта,1 владелец,1.6 л,123 л.с.,бензиновый ,АИ-92 ,11.6 с,6.8 л,Южная Корея ,B ,182 км/ч,Euro 5 ,1 702 000 
"BMW 5 серии 520d, 2014",2014,191 500 км,чёрный,9 500  / год,автоматическая,задний,Не требует ремонта,3 или более,2.0 л,190 л.с.,дизельный ,ДТ ,7.7 с,4.1 л,Германия ,E ,233 км/ч,Euro 6 ,1 889 000 
"Nissan Qashqai, 2020",2020,29 000 км,серый,5 040  / год,механическая,передний,Не требует ремонта,1 владелец,2.0 л,144 л.с.,бензиновый ,АИ-95 ,9.9 с,7.7 л,Япония ,C ,194 км/ч,Euro 5 ,2 400 000 
"Lada (ВАЗ) Largus, 2021",2021,97 850 км,серый,1 080  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,90 л.с.,бензиновый ,АИ-92 ,14.0 с,7.5 л,Россия ,C ,160 км/ч,Euro 5 ,1 265 000 
"Mercedes-Benz GLE 400 d, 2019",2019,113 000 км,чёрный,49 500  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.9 л,330 л.с.,дизельный ,ДТ ,5.7 с,7.5 л,Германия ,E ,245 км/ч,Euro 6 ,6 986 000 
"Land Rover Discovery Sport, 2015",2015,196 000 км,серый,18 000  / год,автоматическая,полный,Не требует ремонта,3 или более,2.0 л,240 л.с.,бензиновый ,АИ-95 ,8.2 с,8.0 л,Великобритания ,D ,200 км/ч,Euro 5 ,2 150 000 
"Ford Mondeo, 2012",2012,250 000 км,чёрный,7 245  / год,автоматическая,передний,Не требует ремонта,3 или более,2.3 л,161 л.с.,бензиновый ,АИ-95 ,10.5 с,7.7 л,США ,D ,207 км/ч,Euro 4 ,850 000 
"BMW 5 серии 530i xDrive, 2018",2018,233 909 км,чёрный,18 675  / год,автоматическая,полный,Не требует ремонта,2 владельца,2.0 л,249 л.с.,бензиновый ,АИ-95 ,6.0 с,6.7 л,Германия ,E ,250 км/ч,Euro 6 ,3 100 000 
"EXEED VX, 2022",2022,40 634 км,серый,18 675  / год,роботизированная,полный,Не требует ремонта,1 владелец,2.0 л,249 л.с.,бензиновый ,АИ-95 ,8.5 с,9.5 л,Китай ,E ,195 км/ч,Euro 5 ,3 560 000 
"BMW 5 серии 530d xDrive, 2020",2020,88 240 км,белый,18 675  / год,автоматическая,полный,Не требует ремонта,1 владелец,3.0 л,249 л.с.,дизельный ,ДТ ,5.4 с,5.4 л,Германия ,E ,250 км/ч,Euro 6 ,6 790 000 
"EXEED VX, 2022",2022,43 181 км,серый,18 675  / год,роботизированная,полный,Не требует ремонта,1 владелец,2.0 л,249 л.с.,бензиновый ,АИ-95 ,8.5 с,9.5 л,Китай ,E ,195 км/ч,Euro 5 ,3 600 000 
"EXEED VX, 2022",2022,31 567 км,фиолетовый,18 675  / год,роботизированная,полный,Не требует ремонта,1 владелец,2.0 л,249 л.с.,бензиновый ,АИ-95 ,8.5 с,9.5 л,Китай ,E ,195 км/ч,Euro 5 ,3 769 000 
"Mazda CX-5, 2017",2017,88 295 км,коричневый,9 700  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.5 л,194 л.с.,бензиновый ,АИ-95 ,9.0 с,7.4 л,Япония ,C ,195 км/ч,?,2 495 000 
"Nissan X-Trail, 2018",2018,65 624 км,серебристый,5 040  / год,вариатор,передний,Не требует ремонта,3 или более,2.0 л,144 л.с.,бензиновый ,АИ-95 ,11.7 с,7.1 л,Япония ,D ,183 км/ч,Euro 6 ,1 860 000 
"Mitsubishi Lancer, 2006",2006,196 000 км,серый,1 176  / год,механическая,передний,Не требует ремонта,3 или более,1.6 л,98 л.с.,бензиновый ,АИ-95 ,11.8 с,6.7 л,Япония ,C ,183 км/ч,?,320 000 
"Nissan X-Trail, 2021",2021,45 335 км,серый,5 040  / год,вариатор,полный,Не требует ремонта,1 владелец,2.0 л,144 л.с.,бензиновый ,АИ-95 ,12.1 с,7.5 л,Япония ,D ,180 км/ч,Euro 6 ,2 825 000 
"Nissan X-Trail, 2018",2018,71 529 км,чёрный,5 040  / год,вариатор,передний,Не требует ремонта,1 владелец,2.0 л,144 л.с.,бензиновый ,АИ-95 ,11.7 с,7.1 л,Япония ,D ,183 км/ч,Euro 5 ,2 114 000 
"Nissan X-Trail, 2017",2017,58 815 км,синий,5 040  / год,вариатор,полный,Не требует ремонта,1 владелец,2.0 л,144 л.с.,бензиновый ,АИ-95 ,12.1 с,7.5 л,Япония ,D ,180 км/ч,Euro 5 ,2 117 000 
"Volvo XC60, 2020",2020,9 700 км,синий,18 675  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.0 л,249 л.с.,бензиновый ,АИ-95 ,6.8 с,7.2 л,Швеция ,D ,220 км/ч,Euro 6 ,4 380 000 
"Ford Tourneo Connect LWB, 2005",2005,110 000 км,белый,1 080  / год,механическая,передний,Не требует ремонта,3 или более,1.8 л,90 л.с.,дизельный ,ДТ ,15.2 с,6.5 л,США ,M ,155 км/ч,?,499 999 
"Chery Tiggo 4, 2021",2021,35 000 км,серый,2 825  / год,вариатор,передний,Не требует ремонта,1 владелец,1.5 л,113 л.с.,бензиновый ,АИ-92 ,14.6 с,7.5 л,Китай ,B ,165 км/ч,Euro 5 ,1 499 000 
"Nissan X-Trail, 2015",2015,150 000 км,чёрный,5 040  / год,вариатор,полный,Не требует ремонта,2 владельца,2.0 л,144 л.с.,бензиновый ,АИ-95 ,12.1 с,7.5 л,Япония ,D ,180 км/ч,Euro 5 ,1 000 000 
"Nissan X-Trail, 2008",2008,186 607 км,золотистый,4 935  / год,вариатор,полный,Не требует ремонта,3 или более,2.0 л,141 л.с.,бензиновый ,АИ-95 ,11.9 с,8.5 л,Япония ,D ,172 км/ч,?,919 000 
